name,locale,mascot,abbrev_pff
Atlanta Falcons,Atlanta,Falcons,ATL
Philadelphia Eagles,Philadelphia,Eagles,PHI
Buffalo Bills,Buffalo,Bills,BUF
Baltimore Ravens,Baltimore,Ravens,BAL
Cincinnati Bengals,Cincinnati,Bengals,CIN
Indianapolis Colts,Indianapolis,Colts,IND
Pittsburgh Steelers,Pittsburgh,Steelers,PIT
Cleveland Browns,Cleveland,Browns,CLE
Houston Texans,Houston,Texans,HOU
New England Patriots,New England,Patriots,NWE
Jacksonville Jaguars,Jacksonville,Jaguars,JAX
New York Giants,New York,Giants,NYG
Tennessee Titans,Tennessee,Titans,TEN
Miami Dolphins,Miami,Dolphins,MIA
San Francisco 49ers,San Francisco,49ers,SFO
Minnesota Vikings,Minnesota,Vikings,MIN
Tampa Bay Buccaneers,Tampa Bay,Buccaneers,TAM
New Orleans Saints,New Orleans,Saints,NOR
Kansas City Chiefs,Kansas City,Chiefs,KAN
Los Angeles Chargers,Los Angeles,Chargers,LAC
Dallas Cowboys,Dallas,Cowboys,DAL
Carolina Panthers,Carolina,Panthers,CAR
Washington Redskins,Washington,Redskins,WAS
Arizona Cardinals,Arizona,Cardinals,ARI
Seattle Seahawks,Seattle,Seahawks,SEA
Denver Broncos,Denver,Broncos,DEN
Chicago Bears,Chicago,Bears,CHI
Green Bay Packers,Green Bay,Packers,GNB
New York Jets,New York,Jets,NYJ
Detroit Lions,Detroit,Lions,DET
Los Angeles Rams,Los Angeles,Rams,LAR
Oakland Raiders,Oakland,Raiders,OAK
Las Vegas Raiders,Las Vegas,Raiders,LVR
Washington Football Team,Washington,Football Team,WAS
Washington Commanders,Washington,Commanders,WAS
