id,name,college,dob,career_start,career_end
RyanMa00,Matt Ryan,,,,
FreeDe00,Devonta Freeman,,,,
ColeTe01,Tevin Coleman,,,,
JoneJu02,Julio Jones,,,,
HoopAu00,Austin Hooper,,,,
SanuMo00,Mohamed Sanu,,,,
RidlCa00,Calvin Ridley,,,,
SaubEr00,Eric Saubert,,,,
FoleNi00,Nick Foles ,,,,
AghoNe00,Nelson Agholor,,,,
AjayJa00,Jay Ajayi,,,,
ClemCo00,Corey Clement,,,,
SproDa00,Darren Sproles,,,,
ErtzZa00,Zach Ertz,,,,
CartDe02,DeAndre Carter,,,,
GoedDa00,Dallas Goedert,,,,
WallMi00,Mike Wallace,,,,
JoneDe01,Deion Jones,,,,
PoolBr01,Brian Poole,,,,
McKiTa00,Takkarist McKinley,,,,
CampDe00,De'Vondre Campbell,,,,
TrufDe00,Desmond Trufant,,,,
AlleRi00,Ricardo Allen,,,,
JarrGr00,Grady Jarrett,,,,
AlfoRo00,Robert Alford,,,,
KazeDa00,Damontae Kazee,,,,
SenaDe00,Deadrin Senat,,,,
IshmKe00,Kemal Ishmael,,,,
NealKe01,Keanu Neal,,,,
RileDu00,Duke Riley,,,,
ShelDe00,Derrick Shelby,,,,
BeasVi00,Vic Beasley,,,,
BurtDe00,Deante Burton,,,,
CrawJa00,Jack Crawford,,,,
McClTe00,Terrell McClain,,,,
OluoFo00,Foyesade Oluokun,,,,
ReedBr00,Brooks Reed,,,,
MackAl20,Alex Mack,,,,
DougRa00,Rasul Douglas,,,,
HickJo00,Jordan Hicks,,,,
CoxxFl00,Fletcher Cox,,,,
LongCh99,Chris Long,,,,
DarbRo00,Ronald Darby,,,,
McLeRo00,Rodney McLeod,,,,
MillJa02,Jalen Mills,,,,
GrugKa00,Kamu Grugier-Hill,,,,
JoneSi00,Sidney Jones,,,,
JenkMa99,Malcolm Jenkins,,,,
BarnDe01,Derek Barnett,,,,
BennMi99,Michael Bennett,,,,
GrahCo99,Corey Graham,,,,
GrahBr99,Brandon Graham,,,,
GerrNa00,Nathan Gerry,,,,
LovaRi00,Rick Lovato,,,,
ReynLa00,LaRoy Reynolds,,,,
SmalWe00,Wendell Smallwood,,,,
VaeaDe01,Destiny Vaeao,,,,
HardJu00,Justin Hardy,,,,
SullTr01,Tre Sullivan,,,,
GibsSh00,Shelton Gibson,,,,
bryanmat01,Matt Bryant,,,,
BoshMa00,Matthew Bosher,,,,
ElliJa03,Jake Elliott ,,,,
JohnCa02,Cameron Johnston,,,,
PeteJa21,Jason Peters,,,,
WisnSt01,Stefen Wisniewski,,,,
KelcJa00,Jason Kelce,,,,
BrooBr00,Brandon Brooks,,,,
JohnLa01,Lane Johnson,,,,
OrtiRi00,Ricky Ortiz,,,,
PaulLo00,Logan Paulsen,,,,
MattJa00,Jake Matthews,,,,
LeviAn20,Andy Levitre,,,,
FuscBr00,Brandon Fusco,,,,
SchrRy00,Ryan Schraeder,,,,
SeumIs00,Isaac Seumalo,,,,
PerkJo02,Joshua Perkins,,,,
WheaMa00,Markus Wheaton,,,,
VaitHa00,Halapoulivaati Vaitai,,,,
NgatHa20,Haloti Ngata,,,,
HectBr00,Bruce Hector,,,,
MaddAv00,Avonte Maddox,,,,
AlexD.00,D.J. Alexander,,,,
HallMa02,Marvin Hall,,,,
GageRu00,Russell Gage,,,,
BethJu00,Justin Bethel,,,,
OverJe00,Jeff Overbaugh,,,,
SmitIt00,Ito Smith,,,,
SambTy00,Ty Sambrailo,,,,
SchwWe00,Wes Schweitzer,,,,
PeteNa00,Nathan Peterman,,,,
AlleJo02,Josh Allen,,,,
MurpMa03,Marcus Murphy,,,,
McCoLe01,LeSean McCoy,,,,
IvorCh00,Chris Ivory,,,,
JoneZa00,Zay Jones,,,,
ThomLo00,Logan Thomas,,,,
CrooJa00,Jason Croom,,,,
HolmAn00,Andre Holmes,,,,
BenjKe00,Kelvin Benjamin,,,,
KerlJe00,Jeremy Kerley,,,,
FostRo01,Robert Foster,,,,
ClayCh00,Charles Clay,,,,
BojoCo00,Corey Bojorquez,,,,
FlacJo00,Joe Flacco,,,,
JackLa00,Lamar Jackson,,,,
DixoKe00,Kenneth Dixon,,,,
AlleJa01,Javorius Allen,,,,
CollAl00,Alex Collins,,,,
BrowJo02,John Brown,,,,
SneaWi00,Willie Snead,,,,
BoylNi00,Nick Boyle,,,,
CrabMi00,Michael Crabtree,,,,
WillMa04,Maxx Williams,,,,
AndrMa00,Mark Andrews,,,,
MoorCh00,Chris Moore,,,,
EdmuTr01,Tremaine Edmunds,,,,
WillKy20,Kyle Williams,,,,
MurpTr00,Trent Murphy,,,,
AlexLo99,Lorenzo Alexander,,,,
MilaMa00,Matt Milano,,,,
PoyeJo00,Jordan Poyer,,,,
BushRa00,Rafael Bush,,,,
GainPh00,Phillip Gaines,,,,
PhilHa00,Harrison Phillips,,,,
WhitTr01,Tre'Davious White,,,,
HydeMi00,Micah Hyde,,,,
YarbEd01,Eddie Yarbrough,,,,
HughJe99,Jerry Hughes,,,,
JohnTa01,Taron Johnson,,,,
WashAd00,Adolphus Washington,,,,
DiMaPa00,Patrick DiMarco,,,,
JoneTa00,Taiwan Jones,,,,
LawsSh00,Shaq Lawson,,,,
NealSi00,Siran Neal,,,,
PittLa00,Lafayette Pitts,,,,
JeffTo00,Tony Jefferson,,,,
CarrBr99,Brandon Carr,,,,
YounTa01,Tavon Young,,,,
SmitZa00,Za'Darius Smith,,,,
YounKe03,Kenny Young,,,,
SuggTe99,Terrell Suggs,,,,
WillTi00,Tim Williams,,,,
MoslC.00,C.J. Mosley,,,,
CanaMa00,Maurice Canady,,,,
AverAn00,Anthony Averett,,,,
BowsTy00,Tyus Bowser,,,,
ClarCh00,Chuck Clark,,,,
HumpMa00,Marlon Humphrey,,,,
WillBr02,Brandon Williams,,,,
BoarCh00,Chris Board,,,,
JudoMa00,Matt Judon,,,,
LeviAn00,Anthony Levine,,,,
OnwuPa00,Patrick Onwuasor,,,,
PierMi00,Michael Pierce,,,,
RicaPa00,Patrick Ricard,,,,
UrbaBr00,Brent Urban,,,,
WormCh00,Chris Wormley,,,,
WeddEr99,Eric Weddle,,,,
GranJa01,Janarion Grant,,,,
HausSt00,Stephen Hauschka,,,,
TuckJu00,Justin Tucker,,,,
KochSa20,Sam Koch,,,,
StanRo00,Ronnie Stanley,,,,
LewiAl01,Alex Lewis,,,,
SkurMa01,Matt Skura,,,,
YandMa20,Marshal Yanda,,,,
HursJa00,James Hurst,,,,
DawkDi00,Dion Dawkins,,,,
DucaVl20,Vlad Ducasse,,,,
GroyRy00,Ryan Groy,,,,
MillJo04,John Miller,,,,
MillJo02,Jordan Mills,,,,
LotuSt00,Star Lotulelei,,,,
BrowOr00,Orlando Brown Jr.,,,,
BozeBr00,Bradley Bozeman,,,,
CoxxMo00,Morgan Cox,,,,
NewhMa20,Marshall Newhouse,,,,
HumbRa00,Ramon Humber,,,,
LaceDe00,Deon Lacey,,,,
FergRe00,Reid Ferguson,,,,
DaltAn00,Andy Dalton,,,,
MixoJo00,Joe Mixon,,,,
GreeA.00,A.J. Green,,,,
EifeTy00,Tyler Eifert,,,,
BoydTy00,Tyler Boyd,,,,
KrofTy00,Tyler Kroft,,,,
UzomC.00,C.J. Uzomah,,,,
RossJo00,John Ross,,,,
BernGi00,Giovani Bernard,,,,
LuckAn00,Andrew Luck,,,,
WilkJo01,Jordan Wilkins,,,,
HineNy00,Nyheim Hines,,,,
MichCh00,Christine Michael,,,,
DoylJa00,Jack Doyle,,,,
GranRy01,Ryan Grant,,,,
EbroEr00,Eric Ebron,,,,
HiltT.00,T.Y. Hilton,,,,
PascZa00,Zach Pascal,,,,
RogeCh02,Chester Rogers,,,,
SwooEr00,Erik Swoope,,,,
BrowPr00,Preston Brown,,,,
AtkiGe99,Geno Atkins,,,,
DunlCa99,Carlos Dunlap,,,,
VigiNi00,Nick Vigil,,,,
FejeCl00,Clayton Fejedelem ,,,,
BateJe00,Jessie Bates III,,,,
GlasRy00,Ryan Glasgow,,,,
JackWi02,William Jackson III,,,,
NickHa02,Hardy Nickerson,,,,
DennDa00,Darqueze Dennard,,,,
EvanJo01,Jordan Evans,,,,
KirkDr00,Dre Kirkpatrick,,,,
McRaTo00,Tony McRae,,,,
WillSh02,Shawn Williams,,,,
BillAn00,Andrew Billings,,,,
CarsTr01,Tra Carson,,,,
JohnMi98,Michael Johnson,,,,
PhilDa02,Darius Phillips,,,,
LawsCa00,Carl Lawson,,,,
WillJo09,Jordan Willis,,,,
MoorKe03,Kenny Moore,,,,
HuntMa00,Margus Hunt,,,,
LeonDa00,Shaquille Leonard,,,,
GeatCl00,Clayton Geathers,,,,
HairNa00,Nate Hairston,,,,
WalkAn01,Anthony Walker,,,,
HookMa00,Malik Hooker,,,,
FarlMa00,Matthias Farley,,,,
WoodAl99,Al Woods,,,,
MoorSk00,Skai Moore,,,,
AutrDe00,Denico Autry,,,,
FranZa00,Zaire Franklin,,,,
MiltCh00,Christopher Milton,,,,
MoorCo00,Corey Moore,,,,
MuhaAl00,Al-Quadin Muhammad,,,,
SheaJa00,Jabaal Sheard,,,,
WilsQu01,Quincy Wilson,,,,
EricAl01,Alex Erickson,,,,
BullRa00,Randy Bullock,,,,
HubeKe20,Kevin Huber,,,,
vinatada01,Adam Vinatieri,,,,
SancRi00,Rigoberto Sanchez,,,,
HaegJo00,Joe Haeg,,,,
SmitBr06,Braden Smith,,,,
NelsQu00,Quenton Nelson,,,,
KellRy00,Ryan Kelly,,,,
SlauMa20,Matt Slauson,,,,
WebbJM20,J'Marcus Webb,,,,
GlenCo00,Cordy Glenn,,,,
BoliCl00,Clint Boling,,,,
PricBi01,Billy Price,,,,
RedmAl01,Alex Redmond,,,,
HartBo00,Bobby Hart,,,,
StewGr00,Grover Stewart,,,,
TuraKe00,Kemoko Turay,,,,
BashTa00,Tarell Basham,,,,
GoodNa00,Najee Goode,,,,
OdumGe00,George Odum,,,,
AdamMa00,Matthew Adams,,,,
DesiPi00,Pierre Desir,,,,
RhodLu00,Luke Rhodes,,,,
MaloJo00,Josh Malone,,,,
HubbSa00,Sam Hubbard,,,,
FishJa00,Jake Fisher,,,,
ReyxVi00,Vincent Rey,,,,
WilsBr01,Brandon Wilson,,,,
SchrMa00,Mason Schreck,,,,
HarrCl20,Clark Harris,,,,
HopkTr01,Trey Hopkins,,,,
RoetBe00,Ben Roethlisberger,,,,
ConnJa00,James Conner,,,,
SwitRy00,Ryan Switzer,,,,
SmitJu00,JuJu Smith-Schuster,,,,
BrowAn04,Antonio Brown,,,,
JameJe00,Jesse James,,,,
HuntJu00,Justin Hunter,,,,
TaylTy00,Tyrod Taylor,,,,
HydeCa00,Carlos Hyde,,,,
ChubNi00,Nick Chubb,,,,
JohnDu00,Duke Johnson,,,,
LandJa00,Jarvis Landry,,,,
HiggRa00,Rashard Higgins,,,,
GordJo02,Josh Gordon,,,,
NjokDa00,David Njoku,,,,
FellDa01,Darren Fells,,,,
CallAn00,Antonio Callaway,,,,
SuttCa00,Cameron Sutton,,,,
WattT.00,T.J. Watt,,,,
BostJo00,Jonathan Bostic,,,,
HeywCa01,Cameron Heyward,,,,
DuprAl00,Bud Dupree,,,,
HargJa00,Javon Hargrave,,,,
WillVi01,Vince Williams,,,,
DaviSe00,Sean Davis,,,,
TuitSt00,Stephon Tuitt,,,,
HadeJo99,Joe Haden,,,,
HiltMi01,Mike Hilton,,,,
MataTy00,Tyler Matakevich,,,,
BurnMo99,Morgan Burnett,,,,
BurnAr00,Artie Burns,,,,
AluaTy99,Tyson Alualu,,,,
DangJo00,Jordan Dangerfield,,,,
EdmuTe00,Terrell Edmunds,,,,
WardDe02,Denzel Ward,,,,
RandDa00,Damarious Randall,,,,
GarrMy00,Myles Garrett,,,,
OgunLa00,Larry Ogunjobi,,,,
AverGe00,Genard Avery,,,,
SchoJo00,Joe Schobert,,,,
CollJa00,Jamie Collins,,,,
MitcTe00,Terrance Mitchell,,,,
PeppJa00,Jabrill Peppers,,,,
BoddBr01,Briean Boddy-Calhoun,,,,
KirkCh00,Christian Kirksey,,,,
KindDe00,Derrick Kindred,,,,
ColeTr01,Trevon Coley,,,,
RiceDe00,Denzel Rice,,,,
SmitCh03,Chris Smith,,,,
CharOr00,Orson Charles,,,,
OgbaEm00,Emmanuel Ogbah,,,,
BitoJo00,Joel Bitonio,,,,
CarrTr00,T.J. Carrie,,,,
BoswCh00,Chris Boswell,,,,
BerrJo00,Jordan Berry,,,,
GonzZa00,Zane Gonzalez,,,,
ColqBr00,Britton Colquitt,,,,
McCuDa00,Daniel McCullers,,,,
ChicAn00,Anthony Chickillo,,,,
DevaSe00,Seth Devalve,,,,
HarrDe05,Desmond Harrison,,,,
TretJC00,J.C. Tretter,,,,
ZeitKe00,Kevin Zeitler,,,,
HubbCh00,Chris Hubbard,,,,
GrimXa00,Xavier Grimble,,,,
OkorCh00,Chukwuma Okorafor,,,,
VillAl00,Alejandro Villanueva,,,,
FostRa21,Ramon Foster,,,,
PounMa20,Maurkice Pouncey,,,,
DeCaDa00,David DeCastro,,,,
GilbMa00,Marcus Gilbert,,,,
WatfEa00,Earl Watford,,,,
WillDe06,Derrick Willies,,,,
LawrDe02,Devaroe Lawrence,,,,
VallTa00,Tanner Vallejo,,,,
HughCh01,Charley Hughlett,,,,
ThomTa01,Tavierre Thomas,,,,
RobiGr01,Greg Robinson,,,,
NixxRo01,Roosevelt Nix,,,,
WashJa00,James Washington,,,,
FinnB.01,B.J. Finney,,,,
HeywDa00,Darrius Heyward-Bey,,,,
FortL.00,L.J. Fort,,,,
CanaKa00,Kameron Canaday,,,,
BerhNa00,Nat Berhe,,,,
ThomMa00,Matthew Thomas,,,,
RidlSt00,Stevan Ridley,,,,
WatsDe00,Deshaun Watson,,,,
MillLa01,Lamar Miller,,,,
BlueAl00,Alfred Blue,,,,
ElliBr00,Bruce Ellington,,,,
ThomJo05,Jordan Thomas,,,,
ErviTy00,Tyler Ervin,,,,
AkinJo00,Jordan Akins,,,,
CoatSa00,Sammie Coates,,,,
GrifRy00,Ryan Griffin,,,,
SmitVy00,Vyncint Smith,,,,
HopkDe00,DeAndre Hopkins,,,,
BradTo00,Tom Brady,,,,
BurkRe00,Rex Burkhead,,,,
HillJe01,Jeremy Hill,,,,
WhitJa02,James White,,,,
PattCo00,Cordarrelle Patterson,,,,
GronRo00,Rob Gronkowski,,,,
DorsPh00,Phillip Dorsett,,,,
DeveJa00,James Develin,,,,
HogaCh00,Chris Hogan,,,,
McCaRi00,Riley McCarron,,,,
MathTy00,Tyrann Mathieu,,,,
ReadD.00,D.J. Reader,,,,
JackKa99,Kareem Jackson,,,,
CunnZa00,Zach Cunningham,,,,
JoseJo20,Johnathan Joseph,,,,
McKiBe00,Benardrick McKinney,,,,
ColeDy00,Dylan Cole,,,,
ColvAa00,Aaron Colvin,,,,
JohnKe04,Kevin Johnson,,,,
BlacAn00,Angelo Blackson,,,,
DunnBr00,Brandon Dunn,,,,
ClowJa00,Jadeveon Clowney,,,,
MercWh00,Whitney Mercilus,,,,
WattJ.00,J.J. Watt,,,,
CoviCh00,Christian Covington,,,,
KalaPe00,Peter Kalambayi,,,,
ReidJu00,Justin Reid,,,,
BadeJo00,Johnson Bademosi,,,,
GilmSt00,Stephon Gilmore,,,,
FlowTr00,Trey Flowers,,,,
WiseDe00,Deatrich Wise Jr.,,,,
BentJa00,Ja'Whaun Bentley,,,,
McCoDe99,Devin McCourty,,,,
ButlAd00,Adam Butler,,,,
GuyxLa00,Lawrence Guy,,,,
RobeEl00,Elandon Roberts,,,,
