id,date,season,week,attendance,stadiumId,gameDuration,roofType
20180906ATLPHI,2018-09-06T20:20:00,2018,Week 1,69696,Lincoln Financial Field,3:19:00,
20180909BUFBAL,2018-09-09T13:00:00,2018,Week 1,70591,M&T Bank Stadium,3:21:00,
20180909CININD,2018-09-09T13:00:00,2018,Week 1,58699,Lucas Oil Stadium,3:04:00,closed
20180909PITCLE,2018-09-09T13:00:00,2018,Week 1,67431,FirstEnergy Stadium,3:54:00,
20180909HOUNWE,2018-09-09T13:00:00,2018,Week 1,65878,Gillette Stadium,3:12:00,
20180909JAXNYG,2018-09-09T13:00:00,2018,Week 1,77992,MetLife Stadium,3:04:00,
20180909TENMIA,2018-09-09T13:00:00,2018,Week 1,65184,Hard Rock Stadium,7:08:00,
20180909SFOMIN,2018-09-09T13:00:00,2018,Week 1,66673,U.S. Bank Stadium,3:12:00,
20180909TAMNOR,2018-09-09T13:00:00,2018,Week 1,73038,Mercedes-Benz Superdome,3:13:00,
20180909KANLAC,2018-09-09T16:05:00,2018,Week 1,25351,StubHub Center,3:08:00,
20180909DALCAR,2018-09-09T16:25:00,2018,Week 1,74532,Bank of America Stadium,3:02:00,
20180909WASARI,2018-09-09T16:25:00,2018,Week 1,61613,State Farm Stadium,2:57:00,closed
20180909SEADEN,2018-09-09T16:25:00,2018,Week 1,76761,Sports Authority Field at Mile High,3:06:00,
20180909CHIGNB,2018-09-09T20:20:00,2018,Week 1,78282,Lambeau Field,3:07:00,
20180910NYJDET,2018-09-10T19:10:00,2018,Week 1,61352,Ford Field,3:18:00,
20180910LAROAK,2018-09-10T22:20:00,2018,Week 1,53857,Oakland-Alameda County Coliseum,3:10:00,
20180913BALCIN,2018-09-13T20:20:00,2018,Week 2,50018,Paul Brown Stadium,3:26:00,
20180916CARATL,2018-09-16T13:00:00,2018,Week 2,72528,Mercedes-Benz Stadium,3:08:00,open
20180916LACBUF,2018-09-16T13:00:00,2018,Week 2,69187,New Era Field,3:07:00,
20180916CLENOR,2018-09-16T13:00:00,2018,Week 2,73086,Mercedes-Benz Superdome,2:55:00,
20180916INDWAS,2018-09-16T13:00:00,2018,Week 2,57013,FedExField,2:53:00,
20180916MINGNB,2018-09-16T13:00:00,2018,Week 2,78461,Lambeau Field,3:37:00,
20180916HOUTEN,2018-09-16T13:00:00,2018,Week 2,62372,Nissan Stadium,2:57:00,
20180916KANPIT,2018-09-16T13:00:00,2018,Week 2,63956,Heinz Field,3:23:00,
20180916MIANYJ,2018-09-16T13:00:00,2018,Week 2,77982,MetLife Stadium,3:04:00,
20180916PHITAM,2018-09-16T13:00:00,2018,Week 2,56552,Raymond James Stadium,3:13:00,
20180916ARILAR,2018-09-16T16:05:00,2018,Week 2,66515,Los Angeles Memorial Coliseum,2:45:00,
20180916DETSFO,2018-09-16T16:05:00,2018,Week 2,70164,Levi's Stadium,3:20:00,
20180916OAKDEN,2018-09-16T16:25:00,2018,Week 2,76696,Sports Authority Field at Mile High,3:07:00,
20180916NWEJAX,2018-09-16T16:25:00,2018,Week 2,68527,TIAA Bank Stadium,3:02:00,
20180916NYGDAL,2018-09-16T20:20:00,2018,Week 2,90512,AT&T Stadium,2:50:00,closed
20180917SEACHI,2018-09-17T20:15:00,2018,Week 2,57960,Soldier Field,2:59:00,
20180920NYJCLE,2018-09-20T20:20:00,2018,Week 3,67431,FirstEnergy Stadium,3:13:00,
20180923NORATL,2018-09-23T13:00:00,2018,Week 3,74457,Mercedes-Benz Stadium,3:38:00,closed
20180923BUFMIN,2018-09-23T13:00:00,2018,Week 3,66800,U.S. Bank Stadium,3:06:00,
20180923CINCAR,2018-09-23T13:00:00,2018,Week 3,72161,Bank of America Stadium,3:07:00,
20180923INDPHI,2018-09-23T13:00:00,2018,Week 3,69696,Lincoln Financial Field,3:10:00,
20180923DENBAL,2018-09-23T13:00:00,2018,Week 3,70156,M&T Bank Stadium,3:10:00,
20180923GNBWAS,2018-09-23T13:00:00,2018,Week 3,59827,FedExField,3:16:00,
20180923NYGHOU,2018-09-23T13:00:00,2018,Week 3,71838,NRG Stadium,2:58:00,closed
20180923TENJAX,2018-09-23T13:00:00,2018,Week 3,64015,TIAA Bank Stadium,2:56:00,
20180923SFOKAN,2018-09-23T13:00:00,2018,Week 3,76023,Arrowhead Stadium,3:16:00,
20180923OAKMIA,2018-09-23T13:00:00,2018,Week 3,65667,Hard Rock Stadium,3:04:00,
20180923LACLAR,2018-09-23T16:05:00,2018,Week 3,68947,Los Angeles Memorial Coliseum,2:57:00,
20180923CHIARI,2018-09-23T16:25:00,2018,Week 3,62163,State Farm Stadium,3:07:00,closed
20180923DALSEA,2018-09-23T16:25:00,2018,Week 3,69047,CenturyLink Field,3:03:00,
20180923NWEDET,2018-09-23T20:20:00,2018,Week 3,61769,Ford Field,2:47:00,
20180924PITTAM,2018-09-24T20:15:00,2018,Week 3,62571,Raymond James Stadium,3:19:00,
20180927MINLAR,2018-09-27T20:20:00,2018,Week 4,72027,Los Angeles Memorial Coliseum,3:07:00,
20180930CINATL,2018-09-30T13:00:00,2018,Week 4,71985,Mercedes-Benz Stadium,3:25:00,closed
20180930BUFGNB,2018-09-30T13:00:00,2018,Week 4,78312,Lambeau Field,3:11:00,
20180930TAMCHI,2018-09-30T13:00:00,2018,Week 4,61893,Soldier Field,2:57:00,
20180930HOUIND,2018-09-30T13:00:00,2018,Week 4,57716,Lucas Oil Stadium,3:57:00,closed
20180930DETDAL,2018-09-30T13:00:00,2018,Week 4,90155,AT&T Stadium,2:58:00,closed
20180930NYJJAX,2018-09-30T13:00:00,2018,Week 4,65353,TIAA Bank Stadium,3:12:00,
20180930MIANWE,2018-09-30T13:00:00,2018,Week 4,65878,Gillette Stadium,2:56:00,
20180930PHITEN,2018-09-30T13:00:00,2018,Week 4,69013,Nissan Stadium,3:36:00,
20180930CLEOAK,2018-09-30T16:05:00,2018,Week 4,53387,Oakland-Alameda County Coliseum,4:04:00,
20180930SEAARI,2018-09-30T16:05:00,2018,Week 4,61845,State Farm Stadium,3:05:00,closed
20180930NORNYG,2018-09-30T16:25:00,2018,Week 4,78213,MetLife Stadium,3:02:00,
20180930SFOLAC,2018-09-30T16:25:00,2018,Week 4,25397,StubHub Center,3:13:00,
20180930BALPIT,2018-09-30T20:20:00,2018,Week 4,62030,Heinz Field,3:08:00,
20181001KANDEN,2018-10-01T20:15:00,2018,Week 4,76656,Sports Authority Field at Mile High,3:04:00,
20181004INDNWE,2018-10-04T20:20:00,2018,Week 5,65878,Gillette Stadium,3:14:00,
20181007NYGCAR,2018-10-07T13:00:00,2018,Week 5,74221,Bank of America Stadium,3:21:00,
20181007ATLPIT,2018-10-07T13:00:00,2018,Week 5,64781,Heinz Field,3:02:00,
20181007TENBUF,2018-10-07T13:00:00,2018,Week 5,68202,New Era Field,2:46:00,
20181007MIACIN,2018-10-07T13:00:00,2018,Week 5,52708,Paul Brown Stadium,3:02:00,
20181007BALCLE,2018-10-07T13:00:00,2018,Week 5,67431,FirstEnergy Stadium,3:36:00,
20181007DENNYJ,2018-10-07T13:00:00,2018,Week 5,77982,MetLife Stadium,3:09:00,
20181007GNBDET,2018-10-07T13:00:00,2018,Week 5,63405,Ford Field,3:23:00,
20181007JAXKAN,2018-10-07T13:00:00,2018,Week 5,75289,Arrowhead Stadium,3:24:00,
20181007OAKLAC,2018-10-07T16:05:00,2018,Week 5,25362,StubHub Center,2:49:00,
20181007ARISFO,2018-10-07T16:25:00,2018,Week 5,68337,Levi's Stadium,3:17:00,
20181007MINPHI,2018-10-07T16:25:00,2018,Week 5,69696,Lincoln Financial Field,3:02:00,
20181007LARSEA,2018-10-07T16:25:00,2018,Week 5,68893,CenturyLink Field,3:12:00,
20181007DALHOU,2018-10-07T20:20:00,2018,Week 5,72008,NRG Stadium,3:23:00,closed
20181008WASNOR,2018-10-08T20:15:00,2018,Week 5,73028,Mercedes-Benz Superdome,3:05:00,
20181011PHINYG,2018-10-11T20:20:00,2018,Week 6,77167,MetLife Stadium,3:13:00,
20181014CARWAS,2018-10-14T13:00:00,2018,Week 6,60482,FedExField,2:55:00,
20181014CHIMIA,2018-10-14T13:00:00,2018,Week 6,65791,Hard Rock Stadium,3:33:00,
20181014TAMATL,2018-10-14T13:00:00,2018,Week 6,72665,Mercedes-Benz Stadium,3:09:00,closed
20181014BUFHOU,2018-10-14T13:00:00,2018,Week 6,71638,NRG Stadium,2:55:00,closed
20181014PITCIN,2018-10-14T13:00:00,2018,Week 6,60594,Paul Brown Stadium,3:08:00,
20181014LACCLE,2018-10-14T13:00:00,2018,Week 6,67431,FirstEnergy Stadium,3:07:00,
20181014INDNYJ,2018-10-14T13:00:00,2018,Week 6,77982,MetLife Stadium,3:10:00,
20181014ARIMIN,2018-10-14T13:00:00,2018,Week 6,66801,U.S. Bank Stadium,3:01:00,
20181014SEAOAK,2018-10-14T13:00:00,2018,Week 6,84922,Wembley Stadium,2:50:00,
20181014LARDEN,2018-10-14T16:05:00,2018,Week 6,76109,Sports Authority Field at Mile High,3:16:00,
20181014JAXDAL,2018-10-14T16:25:00,2018,Week 6,90767,AT&T Stadium,2:52:00,closed
20181014BALTEN,2018-10-14T16:25:00,2018,Week 6,64441,Nissan Stadium,2:52:00,
20181014KANNWE,2018-10-14T20:20:00,2018,Week 6,65878,Gillette Stadium,3:07:00,
20181015SFOGNB,2018-10-15T20:15:00,2018,Week 6,77642,Lambeau Field,3:10:00,
20181018DENARI,2018-10-18T20:20:00,2018,Week 7,62359,State Farm Stadium,3:04:00,closed
20181021TENLAC,2018-10-21T09:30:00,2018,Week 7,84301,Wembley Stadium,2:54:00,
20181021CARPHI,2018-10-21T13:00:00,2018,Week 7,69696,Lincoln Financial Field,2:55:00,
20181021NWECHI,2018-10-21T13:00:00,2018,Week 7,62389,Soldier Field,3:21:00,
20181021DETMIA,2018-10-21T13:00:00,2018,Week 7,65265,Hard Rock Stadium,2:56:00,
20181021BUFIND,2018-10-21T13:00:00,2018,Week 7,56848,Lucas Oil Stadium,2:54:00,closed
20181021CLETAM,2018-10-21T13:00:00,2018,Week 7,53682,Raymond James Stadium,3:40:00,
20181021HOUJAX,2018-10-21T13:00:00,2018,Week 7,66534,TIAA Bank Stadium,2:52:00,
20181021MINNYJ,2018-10-21T13:00:00,2018,Week 7,77982,MetLife Stadium,3:29:00,
20181021NORBAL,2018-10-21T16:05:00,2018,Week 7,70639,M&T Bank Stadium,3:03:00,
20181021DALWAS,2018-10-21T16:25:00,2018,Week 7,66301,FedExField,3:05:00,
