id,refPosition,officialId,gameId
1,Referee,John Hussey,20180906ATLPHI
2,Umpire,Tony Michalek,20180906ATLPHI
3,Down Judge,Kevin Codey,20180906ATLPHI
4,Line Judge,Derick Bowers,20180906ATLPHI
5,Back Judge,Greg Steed,20180906ATLPHI
6,Side Judge,Allen Baynes,20180906ATLPHI
7,Field Judge,Don Willard,20180906ATLPHI
8,Referee,Shawn Hochuli,20180909BUFBAL
9,Umpire,Roy Ellison,20180909BUFBAL
10,Down Judge,Ed Camp,20180909BUFBAL
11,Line Judge,Greg Bradley,20180909BUFBAL
12,Back Judge,Rich Martinez,20180909BUFBAL
13,Side Judge,Chad Hill,20180909BUFBAL
14,Field Judge,Tom Hill,20180909BUFBAL
15,Referee,Peter Morelli,20180909CININD
16,Umpire,Steven Woods,20180909CININD
17,Down Judge,Steve Stelljes,20180909CININD
18,Line Judge,Jeff Seeman,20180909CININD
19,Back Judge,Keith Ferguson,20180909CININD
20,Side Judge,Boris Cheek,20180909CININD
21,Field Judge,Anthony Jeffries,20180909CININD
22,Referee,Shawn Smith,20180909PITCLE
23,Umpire,Bryan Neale,20180909PITCLE
24,Down Judge,Mark Hittner,20180909PITCLE
25,Line Judge,Bart Longson,20180909PITCLE
26,Back Judge,Dino Paganelli,20180909PITCLE
27,Side Judge,James Coleman,20180909PITCLE
28,Field Judge,Brad Rogers,20180909PITCLE
29,Referee,Tony Corrente,20180909HOUNWE
30,Umpire,Alan Eck,20180909HOUNWE
31,Down Judge,Patrick Turner,20180909HOUNWE
32,Line Judge,Tim Podraza,20180909HOUNWE
33,Back Judge,Todd Prukop,20180909HOUNWE
34,Side Judge,Ryan Dickson,20180909HOUNWE
35,Field Judge,Keith Washington,20180909HOUNWE
36,Referee,Craig Wrolstad,20180909JAXNYG
37,Umpire,Paul King,20180909JAXNYG
38,Down Judge,Jerod Phillips,20180909JAXNYG
39,Line Judge,Carl Johnson,20180909JAXNYG
40,Back Judge,Scott Helverson,20180909JAXNYG
41,Side Judge,Adrian Hill,20180909JAXNYG
42,Field Judge,Jeff Lamberth,20180909JAXNYG
43,Referee,Jerome Boger,20180909TENMIA
44,Umpire,Bill Schuster,20180909TENMIA
45,Down Judge,Mike Carr,20180909TENMIA
46,Line Judge,Rusty Baynes,20180909TENMIA
47,Back Judge,Tony Steratore,20180909TENMIA
48,Side Judge,Jonah Monroe,20180909TENMIA
49,Field Judge,Dale Shaw,20180909TENMIA
50,Referee,Clay Martin,20180909SFOMIN
51,Umpire,Fred Bryan,20180909SFOMIN
52,Down Judge,Danny Short,20180909SFOMIN
53,Line Judge,Kent Payne,20180909SFOMIN
54,Back Judge,Gregory Wilson,20180909SFOMIN
55,Side Judge,Brad Freeman,20180909SFOMIN
56,Field Judge,David Meslow,20180909SFOMIN
57,Referee,John Parry,20180909TAMNOR
58,Umpire,Mark Pellis,20180909TAMNOR
59,Down Judge,David Oliver,20180909TAMNOR
60,Line Judge,Julian Mapp,20180909TAMNOR
61,Back Judge,Perry Paganelli,20180909TAMNOR
62,Side Judge,Michael Banks,20180909TAMNOR
63,Field Judge,Matt Edwards,20180909TAMNOR
64,Referee,Clete Blakeman,20180909KANLAC
65,Umpire,Ramon George,20180909KANLAC
66,Down Judge,Dana McKenzie,20180909KANLAC
67,Line Judge,Walt Coleman IV,20180909KANLAC
68,Back Judge,Jim Quirk,20180909KANLAC
69,Side Judge,Dyrol Prioleau,20180909KANLAC
70,Field Judge,Joe Larrew,20180909KANLAC
71,Referee,Walt Anderson,20180909DALCAR
72,Umpire,Carl Paganelli,20180909DALCAR
73,Down Judge,Tom Stephan,20180909DALCAR
74,Line Judge,Byron Boston,20180909DALCAR
75,Back Judge,Lee Dyer,20180909DALCAR
76,Side Judge,Rick Patterson,20180909DALCAR
77,Field Judge,Terry Brown,20180909DALCAR
78,Referee,Walt Coleman,20180909WASARI
79,Umpire,Jeff Rice,20180909WASARI
80,Down Judge,Jerry Bergman,20180909WASARI
81,Line Judge,Mark Stewart,20180909WASARI
82,Back Judge,Greg Yette,20180909WASARI
83,Side Judge,Jabir Walker,20180909WASARI
84,Field Judge,Greg Gautreaux,20180909WASARI
85,Referee,Brad Allen,20180909SEADEN
86,Umpire,Ruben Fowler,20180909SEADEN
87,Down Judge,Jim Mello,20180909SEADEN
88,Line Judge,Brian Bolinger,20180909SEADEN
89,Back Judge,Terrence Miles,20180909SEADEN
90,Side Judge,Scott Novak,20180909SEADEN
91,Field Judge,Steve Zimmer,20180909SEADEN
92,Referee,Carl Cheffers,20180909CHIGNB
93,Umpire,Barry Anderson,20180909CHIGNB
94,Down Judge,Hugo Cruz,20180909CHIGNB
95,Line Judge,Gary Arthur,20180909CHIGNB
96,Back Judge,Greg Meyer,20180909CHIGNB
97,Side Judge,Eugene Hall,20180909CHIGNB
98,Field Judge,Land Clark,20180909CHIGNB
99,Referee,Bill Vinovich,20180910NYJDET
100,Umpire,Bruce Stritesky,20180910NYJDET
101,Down Judge,Mike Spanier,20180910NYJDET
102,Line Judge,Mark Perlman,20180910NYJDET
103,Back Judge,Steven Patrick,20180910NYJDET
104,Side Judge,Gary Cavaletto,20180910NYJDET
105,Field Judge,Mearl Robinson,20180910NYJDET
106,Referee,Ron Torbert,20180910LAROAK
107,Umpire,Dan Ferrell,20180910LAROAK
108,Down Judge,Sarah Thomas,20180910LAROAK
109,Line Judge,Mark Steinkerchner,20180910LAROAK
110,Back Judge,Anthony Josselyn,20180910LAROAK
111,Side Judge,Scott Edwards,20180910LAROAK
112,Field Judge,Jimmy Buchanan,20180910LAROAK
113,Referee,Walt Anderson,20180913BALCIN
114,Umpire,Carl Paganelli,20180913BALCIN
115,Down Judge,Tom Stephan,20180913BALCIN
116,Line Judge,Byron Boston,20180913BALCIN
117,Back Judge,Lee Dyer,20180913BALCIN
118,Side Judge,Rick Patterson,20180913BALCIN
119,Field Judge,Terry Brown,20180913BALCIN
120,Referee,Bill Vinovich,20180916CARATL
121,Umpire,Bruce Stritesky,20180916CARATL
122,Down Judge,Mike Spanier,20180916CARATL
123,Line Judge,Mark Perlman,20180916CARATL
124,Back Judge,Steven Patrick,20180916CARATL
125,Side Judge,Gary Cavaletto,20180916CARATL
126,Field Judge,Mearl Robinson,20180916CARATL
127,Referee,Clay Martin,20180916LACBUF
128,Umpire,Fred Bryan,20180916LACBUF
129,Down Judge,Danny Short,20180916LACBUF
130,Line Judge,Kent Payne,20180916LACBUF
131,Back Judge,Gregory Wilson,20180916LACBUF
132,Side Judge,Brad Freeman,20180916LACBUF
133,Field Judge,David Meslow,20180916LACBUF
134,Referee,Ron Torbert,20180916CLENOR
135,Umpire,Dan Ferrell,20180916CLENOR
136,Down Judge,Sarah Thomas,20180916CLENOR
137,Line Judge,Mark Steinkerchner,20180916CLENOR
138,Back Judge,Anthony Josselyn,20180916CLENOR
139,Side Judge,Scott Edwards,20180916CLENOR
140,Field Judge,Jimmy Buchanan,20180916CLENOR
141,Referee,Clete Blakeman,20180916INDWAS
142,Umpire,Ramon George,20180916INDWAS
143,Down Judge,Dana McKenzie,20180916INDWAS
144,Line Judge,Walt Coleman IV,20180916INDWAS
145,Back Judge,Jim Quirk,20180916INDWAS
146,Side Judge,Dyrol Prioleau,20180916INDWAS
147,Field Judge,Joe Larrew,20180916INDWAS
148,Referee,Tony Corrente,20180916MINGNB
149,Umpire,Alan Eck,20180916MINGNB
150,Down Judge,Patrick Turner,20180916MINGNB
151,Line Judge,Tim Podraza,20180916MINGNB
152,Back Judge,Todd Prukop,20180916MINGNB
153,Side Judge,Scott Novak,20180916MINGNB
154,Field Judge,Keith Washington,20180916MINGNB
155,Referee,Peter Morelli,20180916HOUTEN
156,Umpire,Steven Woods,20180916HOUTEN
157,Down Judge,Steve Stelljes,20180916HOUTEN
158,Line Judge,Jeff Seeman,20180916HOUTEN
159,Back Judge,Keith Ferguson,20180916HOUTEN
160,Side Judge,Boris Cheek,20180916HOUTEN
161,Field Judge,Anthony Jeffries,20180916HOUTEN
162,Referee,Jerome Boger,20180916KANPIT
163,Umpire,Bill Schuster,20180916KANPIT
164,Down Judge,Mike Carr,20180916KANPIT
165,Line Judge,Rusty Baynes,20180916KANPIT
166,Back Judge,Tony Steratore,20180916KANPIT
167,Side Judge,Jonah Monroe,20180916KANPIT
168,Field Judge,Dale Shaw,20180916KANPIT
169,Referee,Brad Allen,20180916MIANYJ
170,Umpire,Ruben Fowler,20180916MIANYJ
171,Down Judge,Jim Mello,20180916MIANYJ
172,Line Judge,Brian Bolinger,20180916MIANYJ
173,Back Judge,Terrence Miles,20180916MIANYJ
174,Side Judge,Mike Weatherford,20180916MIANYJ
175,Field Judge,Steve Zimmer,20180916MIANYJ
176,Referee,Alex Kemp,20180916PHITAM
177,Umpire,Richard Hall,20180916PHITAM
178,Down Judge,Tom Symonette,20180916PHITAM
179,Line Judge,Jeff Bergman,20180916PHITAM
180,Back Judge,Steve Freeman,20180916PHITAM
181,Side Judge,Aaron Santi,20180916PHITAM
182,Field Judge,John Jenkins,20180916PHITAM
183,Referee,Craig Wrolstad,20180916ARILAR
184,Umpire,Paul King,20180916ARILAR
185,Down Judge,Jerod Phillips,20180916ARILAR
186,Line Judge,Carl Johnson,20180916ARILAR
187,Back Judge,Scott Helverson,20180916ARILAR
188,Side Judge,Adrian Hill,20180916ARILAR
189,Field Judge,Jeff Lamberth,20180916ARILAR
190,Referee,Shawn Hochuli,20180916DETSFO
191,Umpire,Roy Ellison,20180916DETSFO
192,Down Judge,Ed Camp,20180916DETSFO
193,Line Judge,Greg Bradley,20180916DETSFO
194,Back Judge,Rich Martinez,20180916DETSFO
195,Side Judge,Tom Hill,20180916DETSFO
196,Field Judge,Chad Hill,20180916DETSFO
197,Referee,John Hussey,20180916OAKDEN
198,Umpire,Tony Michalek,20180916OAKDEN
199,Down Judge,Hugo Cruz,20180916OAKDEN
200,Line Judge,Derick Bowers,20180916OAKDEN
201,Back Judge,Greg Steed,20180916OAKDEN
202,Side Judge,Allen Baynes,20180916OAKDEN
203,Field Judge,Don Willard,20180916OAKDEN
204,Referee,Carl Cheffers,20180916NWEJAX
205,Umpire,Barry Anderson,20180916NWEJAX
206,Down Judge,Kevin Codey,20180916NWEJAX
