id,name,college,dob,careerStart,careerEnd
BradTo00,Tom Brady,,,,
FourLe00,Leonard Fournette,,,,
JoneRo01,Ronald Jones II,,,,
EvanMi00,Mike Evans,,,,
BrowAn04,Antonio Brown,,,,
GodwCh00,Chris Godwin,,,,
BratCa00,Cameron Brate,,,,
McElCo00,Codey McElroy,,,,
HowaO.00,O.J. Howard,,,,
JohnTy00,Tyler Johnson,,,,
JoneMa05,Mac Jones,,,,
MeyeJa01,Jakobi Meyers,,,,
AghoNe00,Nelson Agholor,,,,
BourKe00,Kendrick Bourne,,,,
BoldBr00,Brandon Bolden,,,,
HenrHu00,Hunter Henry,,,,
SmitJo01,Jonnu Smith,,,,
HarrNK00,N'Keal Harry,,,,
TaylJJ01,J.J. Taylor,,,,
HarrDa06,Damien Harris,,,,
WinfAn00,Antoine Winfield Jr.,,,,
TryoJo00,Joe Tryon-Shoyinka,,,,
GholWi00,William Gholston,,,,
BarrSh00,Shaquil Barrett,,,,
DaviLa00,Lavonte David,,,,
SherRi00,Richard Sherman,,,,
WhitDe02,Devin White,,,,
CockRo00,Ross Cockrell,,,,
DesiPi00,Pierre Desir,,,,
EdwaMi01,Mike Edwards,,,,
MintKe00,Kevin Minter,,,,
WhitJo03,Jordan Whitehead,,,,
DaviCa02,Carlton Davis,,,,
RobiRa00,Rashard Robinson,,,,
StuaGr00,Grant Stuard,,,,
SuhxNd99,Ndamukong Suh,,,,
JudoMa00,Matt Judon,,,,
JoneJo03,Jonathan Jones,,,,
DuggKy00,Kyle Dugger,,,,
JackJ.00,J.C. Jackson,,,,
PhilAd00,Adrian Phillips,,,,
WiseDe00,Deatrich Wise Jr.,,,,
GodcDa00,Davon Godchaux,,,,
GuyxLa00,Lawrence Guy,,,,
HighDo01,Dont'a Hightower,,,,
MillJa02,Jalen Mills,,,,
BarmCh00,Christian Barmore,,,,
BethJu00,Justin Bethel,,,,
DaviCa01,Carl Davis,,,,
McCoDe99,Devin McCourty,,,,
AndeHe00,Henry Anderson,,,,
SlatMa00,Matthew Slater,,,,
UcheJo00,Josh Uche,,,,
VanNKy00,Kyle Van Noy,,,,
WinoCh00,Chase Winovich,,,,
MickJa01,Jaydon Mickens,,,,
OlszGu00,Gunner Olszewski,,,,
SuccRy44,Ryan Succop,,,,
PiniBr00,Bradley Pinion,,,,
FolkNi20,Nick Folk,,,,
BailJa00,Jake Bailey,,,,
VeaxVi00,Vita Vea,,,,
TavaJa00,Jahlani Tavai,,,,
BryaMy01,Myles Bryant,,,,
WynnIs00,Isaiah Wynn,,,,
OnweMi00,Michael Onwenu,,,,
MasoSh01,Shaq Mason,,,,
HerrJu00,Justin Herron,,,,
AndrDa00,David Andrews,,,,
WirfTr00,Tristan Wirfs,,,,
WellJo02,Josh Wells,,,,
SmitDo02,Donovan Smith,,,,
MarpAl00,Ali Marpet,,,,
CappAl00,Alex Cappa,,,,
JensRy00,Ryan Jensen,,,,
KarrTe00,Ted Karras,,,,
DuraYa01,Yasir Durant,,,,
JohnJa12,Jakob Johnson,,,,
LangHa00,Harvey Langi,,,,
KingBr02,Brandon King,,,,
DaviCo02,Cody Davis,,,,
CardJo00,Joe Cardona,,,,
NuneRa00,Rakeem Nunez-Roches,,,,
NelsAn01,Anthony Nelson,,,,
McLeSt00,Steve McLendon,,,,
OConPa00,Pat O'Connor,,,,
DelaDe00,Dee Delaney,,,,
BritKJ00,K.J. Britt,,,,
AdamAn00,Andrew Adams,,,,
VaugKe00,Ke'Shawn Vaughn,,,,
TinkCa00,Carson Tinker,,,,
