name,city,state,surface,roof
Lincoln Financial Field,,,grass,outdoors
M&T Bank Stadium,,,grass,outdoors
Lucas Oil Stadium,,,fieldturf,retractable roof (closed)
FirstEnergy Stadium,,,grass,outdoors
Gillette Stadium,,,fieldturf,outdoors
MetLife Stadium,,,fieldturf,outdoors
Hard Rock Stadium,,,grass,outdoors
U.S. Bank Stadium,,,sportturf,dome
Mercedes-Benz Superdome,,,sportturf,dome
StubHub Center,,,grass,outdoors
Bank of America Stadium,,,grass,outdoors
State Farm Stadium,,,grass,retractable roof (closed)
Sports Authority Field at Mile High,,,grass,outdoors
Lambeau Field,,,grass,outdoors
Ford Field,,,fieldturf,dome
Oakland-Alameda County Coliseum,,,grass,outdoors
Paul Brown Stadium,,,fieldturf,outdoors
Mercedes-Benz Stadium,,,fieldturf,retractable roof (closed)
New Era Field,,,a_turf,outdoors
FedExField,,,grass,outdoors
Nissan Stadium,,,grass,outdoors
Heinz Field,,,grass,outdoors
Raymond James Stadium,,,grass,outdoors
Los Angeles Memorial Coliseum,,,grass,outdoors
Levi's Stadium,,,grass,outdoors
TIAA Bank Stadium,,,grass,outdoors
AT&T Stadium,,,matrixturf,retractable roof (closed)
Soldier Field,,,grass,outdoors
NRG Stadium,,,astroturf,retractable roof (closed)
Arrowhead Stadium,,,grass,outdoors
CenturyLink Field,,,fieldturf,outdoors
