name,locale,mascot,abbrevPff
Buffalo Bills,Buffalo,Bills,BUF
Baltimore Ravens,Baltimore,Ravens,BAL
Cincinnati Bengals,Cincinnati,Bengals,CIN
Indianapolis Colts,Indianapolis,Colts,IND
Pittsburgh Steelers,Pittsburgh,Steelers,PIT
Cleveland Browns,Cleveland,Browns,CLE
Houston Texans,Houston,Texans,HOU
New England Patriots,New England,Patriots,NWE
Jacksonville Jaguars,Jacksonville,Jaguars,JAX
New York Giants,New York,Giants,NYG
Tennessee Titans,Tennessee,Titans,TEN
Miami Dolphins,Miami,Dolphins,MIA
San Francisco 49ers,San Francisco,49ers,SFO
Minnesota Vikings,Minnesota,Vikings,MIN
Tampa Bay Buccaneers,Tampa Bay,Buccaneers,TAM
New Orleans Saints,New Orleans,Saints,NOR
Kansas City Chiefs,Kansas City,Chiefs,KAN
Los Angeles Chargers,Los Angeles,Chargers,LAC
Dallas Cowboys,Dallas,Cowboys,DAL
Carolina Panthers,Carolina,Panthers,CAR
Washington Redskins,Washington,Redskins,WAS
Arizona Cardinals,Arizona,Cardinals,ARI
Seattle Seahawks,Seattle,Seahawks,SEA
Denver Broncos,Denver,Broncos,DEN
Chicago Bears,Chicago,Bears,CHI
Green Bay Packers,Green Bay,Packers,GNB
