id,driveNum,quarter,timeStart,ydStart,numPlays,driveTime,netYds,driveResult,teamGameId
1,1,1,00:13:47,LAC 20,13,00:06:47,52,Field Goal,2
2,2,1,00:04:43,LAC 18,8,00:04:04,55,Field Goal,2
3,3,2,00:12:05,LAC 13,5,00:02:53,19,Interception,2
4,4,2,00:06:53,LAC 16,9,00:04:14,84,Touchdown,2
5,5,2,00:00:56,LAC 9,5,00:00:56,21,End of Half,2
6,6,3,00:15:00,LAC 25,9,00:05:04,75,Touchdown,2
7,7,3,00:08:38,LAC 22,9,00:04:53,43,Interception,2
8,8,3,00:02:24,LAC 26,3,00:01:34,9,Punt,2
9,9,4,00:12:17,LAC 28,8,00:05:30,60,Field Goal,2
10,10,4,00:03:45,LAC 20,6,00:01:54,32,Punt,2
11,1,1,00:15:00,DEN 25,3,00:01:13,9,Punt,1
12,2,1,00:07:00,DEN 8,5,00:02:17,24,Punt,1
13,3,1,00:00:39,DEN 30,7,00:03:34,70,Touchdown,1
14,4,2,00:09:12,LAC 46,5,00:02:19,30,Downs,1
15,5,2,00:02:39,DEN 42,6,00:01:43,13,Punt,1
16,6,3,00:09:56,DEN 25,3,00:01:18,8,Punt,1
17,7,3,00:03:45,LAC 18,3,00:01:21,18,Touchdown,1
18,8,3,00:00:50,DEN 27,7,00:03:33,73,Touchdown,1
19,9,4,00:06:47,DEN 26,7,00:03:02,29,Punt,1
20,10,4,00:01:51,DEN 8,7,00:01:51,76,Field Goal,1
